ts,account,pair,side,qty,price,ref_price,notional,fee,slippage_cost,reason,equity_after,half_spread_bps,slip_bps
1790310197,challenger4,LINK,buy,187.23179682,13.35243288,13.34576,2500.0,2.5,1.24937531,enter long: 72h return +3.20% vs entry band +1.0% and price above 24h EMA; realised vol 81% -> weight 0.25,9996.25062469,2.34531417,5.0
1790310197,challenger4,LTC,buy,35.27564939,70.8704175,70.835,2500.0,2.5,1.24937531,enter long: 72h return +15.86% vs entry band +1.0% and price above 24h EMA; realised vol 109% -> weight 0.25,9992.50124938,2.11759723,5.0
1790313703,challenger4,XRP,buy,1630.14171325,1.53391157,1.533145,2500.49323877,2.50049324,1.24962181,enter long: 72h return +1.45% vs entry band +1.0% and price above 24h EMA; realised vol 80% -> weight 0.25,9998.22284004,0.35873971,5.0
1790317673,challenger4,ADA,buy,10041.49578864,0.2479229,0.247799,2489.51675124,2.48951675,1.24413631,enter long: 72h return +1.11% vs entry band +1.0% and price above 24h EMA; realised vol 89% -> weight 0.25,9999.65448022,1.17030335,5.0
1790335355,challenger4,LINK,sell,40.96715528,14.06859219,14.07563,576.35020058,0.5763502,0.28831926,stay long: 72h return +7.61% vs exit band -1.0% and price above 24h EMA; realised vol 85% -> weight 0.25,10294.41180878,1.91110451,5.0
1790335355,challenger4,XRP,sell,330.42700261,1.58324298,1.584035,523.1462331,0.52314623,0.26170397,stay long: 72h return +1.65% vs exit band -1.0% and price above 24h EMA; realised vol 80% -> weight 0.25,10293.62695858,1.10477357,5.0
1790335355,challenger4,SOL,buy,9.07043181,120.9754575,120.915,1097.29963761,1.09729964,0.54837563,enter long: 72h return +2.00% vs entry band +1.0% and price above 24h EMA; realised vol 60% -> weight 0.25,10291.98128331,0.41351363,5.0
1790339270,challenger4,ADA,sell,3332.10364802,0.25426281,0.25439,847.2300201,0.84723002,0.42382692,stay long: 72h return +3.72% vs exit band -1.0% and price above 24h EMA; realised vol 90% -> weight 0.25,10242.08550452,0.66826526,5.0
1790339270,challenger4,LTC,sell,10.93217312,70.0799425,70.115,766.12606355,0.76612606,0.38325466,stay long: 72h return +16.63% vs exit band -1.0% and price above 24h EMA; realised vol 109% -> weight 0.25,10240.93612379,0.71311417,5.0
1790339270,challenger4,SOL,buy,5.15446788,120.0549975,119.995,618.81962886,0.61881963,0.30925519,stay long: 72h return +2.98% vs exit band -1.0% and price above 24h EMA; realised vol 60% -> weight 0.25,10240.00804898,0.41668403,5.0
1790339270,challenger4,DOT,buy,836.24266794,1.18543696,1.1848,991.31296611,0.99131297,0.53265313,enter long: 72h return +2.57% vs entry band +1.0% and price above 24h EMA; realised vol 100% -> weight 0.25,10238.48408288,3.37609723,5.37609723
